,number
0,0.7670799614025708
1,0.5826402241486267
2,0.7962290727281063
3,0.443435286214271
4,0.6258531343013535
5,0.9110889594788785
6,0.5897253527691942
7,0.6655313109991731
8,0.19248321420510772
9,0.17454997898708335
10,0.8875112889598252
11,0.9876925444988751
12,0.013060268634248029
13,0.577644784568288
14,0.6708076930214538
15,0.49790300968834533
16,0.9336028218657736
17,0.7158422236946057
18,0.33404111484778043
19,0.288102381907553
20,0.37346003127045446
21,0.09646141161079125
22,0.8516339656837569
23,0.4742726718852647
24,0.5750488451516877
25,0.4388755581032685
26,0.7647504993570559
27,0.4993514832018602
28,0.5194722204719198
29,0.4769903698570449
30,0.5061419221506928
31,0.5433371867175721
32,0.7959198214177676
33,0.9627867861193268
34,0.6708097771436284
35,0.919301841022887
36,0.16274362773432605
37,0.0810196420730449
38,0.10797558692345255
39,0.14561377065197556
40,0.3007465769208699
41,0.15687184961444767
42,0.23391839463208441
43,0.19500236655976433
44,0.7748956052209349
45,0.4297475280618689
46,0.04144293466891058
47,0.8421587706757127
48,0.5723316738122947
49,0.8907929192650967
50,0.06097406881147349
51,0.9140597471069837
52,0.7846750878363904
53,0.37592819064282346
54,0.12399775084327236
55,0.3505140387068978
56,0.1633994281283483
57,0.24063441113244677
58,0.10863015243252183
59,0.2424143034767502
60,0.043733548190242555
61,0.9707299690315531
62,0.2548382586058996
63,0.6287988407152528
64,0.9691274808919471
65,0.3162132520794204
66,0.4482840064427749
67,0.032751993080373465
68,0.52779501740854
69,0.1130132220655905
70,0.6214906223192321
71,0.09965614765166886
72,0.010011017132024902
73,0.06741210716429813
74,0.6834234416157364
75,0.03504784010497164
76,0.45826332388075774
77,0.977947530378318
78,0.35573164101563715
79,0.5787728308615852
80,0.3350763717639951
81,0.19279203225875485
82,0.8223328485201707
83,0.48322804924975205
84,0.4498954907598982
85,0.362498935572216
86,0.007157980114633755
87,0.7725051726437445
88,0.9889779679925461
89,0.6061282107739828
90,0.6377240916588085
91,0.44463370128955204
92,0.6856826279995062
93,0.871353927383391
94,0.5542355012165316
95,0.7657725414236913
96,0.9782687283336611
97,0.049274803474459006
98,0.8315022536356542
99,0.3700822848282569
100,0.7812519611978826
101,0.28140920837779915
102,0.9544765834781755
103,0.8458770152737034
104,0.7478515328580121
105,0.5895826964481924
106,0.418043816449125
107,0.19006377536975427
108,0.5612442790444029
109,0.695757057656566
110,0.39453194493294685
111,0.9707728091138667
112,0.1387051506574204
113,0.8478802375143211
114,0.11345610768524039
115,0.18156383062316062
116,0.26316820518925954
117,0.531378779978514
118,0.9055707092532118
119,0.31799960086747303
120,0.6209667456800068
121,0.5037768427635061
